day	protein	selection	population	percentage
1.0	BLS	Associate	CD11b	11.805
1.0	BLS	Associate	CD11c	0.8135
1.0	BLS	Associate	CD19	55.975
1.0	BLS	Associate	CD4	26
1.0	BLS	Associate	CD8	15.5
1.0	BLS	Total	CD11b	7.96
1.0	BLS	Total	CD11c	0.352
1.0	BLS	Total	CD19	32.475
1.0	BLS	Total	CD4	45.475
1.0	BLS	Total	CD8	18.975
1.0	Control	Total	CD11b	7.535
1.0	Control	Total	CD11c	0.42125
1.0	Control	Total	CD19	23.825
1.0	Control	Total	CD4	52.9
1.0	Control	Total	CD8	15.55
1.0	Ova	Associate	CD11b	13.5675
1.0	Ova	Associate	CD11c	1.192
1.0	Ova	Associate	CD19	53.25
1.0	Ova	Associate	CD4	27.05
1.0	Ova	Associate	CD8	17.3
1.0	Ova	Total	CD11b	6.72
1.0	Ova	Total	CD11c	0.31575
1.0	Ova	Total	CD19	27.85
1.0	Ova	Total	CD4	48.95
1.0	Ova	Total	CD8	19.225
4.0	BLS	Associate	CD11b	28.4
4.0	BLS	Associate	CD11c	3.08
4.0	BLS	Associate	CD19	74.025
4.0	BLS	Associate	CD4	26.7
4.0	BLS	Associate	CD8	13.225
4.0	BLS	Total	CD11b	7.7825
4.0	BLS	Total	CD11c	0.88075
4.0	BLS	Total	CD19	57.575
4.0	BLS	Total	CD4	32.475
4.0	BLS	Total	CD8	12.5475
4.0	Control	Total	CD11b	7.255
4.0	Control	Total	CD11c	0.60725
4.0	Control	Total	CD19	27.975
4.0	Control	Total	CD4	52.95
4.0	Control	Total	CD8	16.025
4.0	Ova	Associate	CD11b	49.25
4.0	Ova	Associate	CD11c	10.44
4.0	Ova	Associate	CD19	58.225
4.0	Ova	Associate	CD4	44.325
4.0	Ova	Associate	CD8	22.45
4.0	Ova	Total	CD11b	6.615
4.0	Ova	Total	CD11c	7.85175
4.0	Ova	Total	CD19	41.1
4.0	Ova	Total	CD4	42.975
4.0	Ova	Total	CD8	16.55
5.0	BLS	Associate	CD11b	45.55
5.0	BLS	Associate	CD11c	2.3725
5.0	BLS	Associate	CD19	77.275
5.0	BLS	Associate	CD4	29.475
5.0	BLS	Associate	CD8	10.9275
5.0	BLS	Total	CD11b	11.045
5.0	BLS	Total	CD11c	0.7835
5.0	BLS	Total	CD19	52.825
5.0	BLS	Total	CD4	34.325
5.0	BLS	Total	CD8	12.45
5.0	Control	Total	CD11b	8.9425
5.0	Control	Total	CD11c	0.2595
5.0	Control	Total	CD19	15.075
5.0	Control	Total	CD4	59.35
5.0	Control	Total	CD8	16.4
5.0	Ova	Associate	CD11b	66.975
5.0	Ova	Associate	CD11c	3.285
5.0	Ova	Associate	CD19	71.85
5.0	Ova	Associate	CD4	48.35
5.0	Ova	Associate	CD8	15.9
5.0	Ova	Total	CD11b	7.87
5.0	Ova	Total	CD11c	0.50975
5.0	Ova	Total	CD19	36.5
5.0	Ova	Total	CD4	44.175
5.0	Ova	Total	CD8	16
7.0	BLS	Associate	CD11b	52.25
7.0	BLS	Associate	CD11c	3.2525
7.0	BLS	Associate	CD19	77.8
7.0	BLS	Associate	CD4	39.625
7.0	BLS	Associate	CD8	13.75
7.0	BLS	Total	CD11b	8.0075
7.0	BLS	Total	CD11c	0.6115
7.0	BLS	Total	CD19	55.725
7.0	BLS	Total	CD4	31.525
7.0	BLS	Total	CD8	10.18
7.0	Control	Total	CD11b	7.4075
7.0	Control	Total	CD11c	0.35075
7.0	Control	Total	CD19	18.375
7.0	Control	Total	CD4	59.125
7.0	Control	Total	CD8	15.675
7.0	Ova	Associate	CD11b	79.825
7.0	Ova	Associate	CD11c	5.9975
7.0	Ova	Associate	CD19	70.225
7.0	Ova	Associate	CD4	57.8
7.0	Ova	Associate	CD8	24.2
7.0	Ova	Total	CD11b	8.605
7.0	Ova	Total	CD11c	0.7105
7.0	Ova	Total	CD19	39.975
7.0	Ova	Total	CD4	43.65
7.0	Ova	Total	CD8	14.475
